"SITENAME","Year","per_C","error_C","per_H","error_H","per_N","error_N","per_P","error_P"
"SRS6","2010",16.2233333333333,0.280393792749315,NA,0,0.826666666666667,0.0241586832279543,0.0485110937667931,0.00101147358603885
"SRS6","2011",17.9766666666667,0.408068319140827,1.83333333333333,0.074767128183381,1.3,0.0478520095169974,0.053669740694732,0.00168603201442181
"SRS6","2012",16.35,0.155358009484903,1.65333333333333,0.0292076431735443,0.846666666666667,0.0142832890357583,0.0612641098594642,0.000407688559066423
"SRS6","2013",15.2966666666667,0.0771382437055402,1.49,0.0120185042515466,0.793333333333333,0.00675862503366469,0.0525254025998807,0.00164642012983197
"SRS6","2014",15.38,0.0756472074831583,1.575,0.0162307578381294,0.785,0.0074512303234656,0.0560351652838885,0.000641525519257086
"SRS6","2015",15.5325,0.11722607698375,1.5875,0.0224971062954031,0.8425,0.0107080090742086,0.0568585205391405,0.0008352407075143
"SRS6","2016",15.71,0.170272113373249,1.61,0.0353291402124103,0.86,0.0101835015443463,0.0590742756746325,0.00116904295236933
"SRS6","2017a",13.6233333333333,0.204432366793012,1.05333333333333,0.0569925271254763,0.596666666666667,0.0134715062810913,NA,NA
"SRS6","2017b",13.6733333333333,0.250917575370139,0.943333333333333,0.0405197711228957,0.606666666666667,0.0168215029935783,NA,NA
"SRS6","2018",15.47,0.0883385742680042,1.30666666666667,0.00840708108356753,0.683333333333333,0.0144764602453282,0.0472942872082519,0.000350675407516698
"SRS6","2019",15.4833333333333,0.0494538068539287,1.66,0.0145296631451356,0.693333333333333,0.00529966223009414,0.0433005458740403,0.00055708761082516
"SRS6","2020",14.25,0.0300616650188192,0.94,0.0117062819476142,0.6,0.00346944333244356,0.0263005013146103,0.000238301505783717
"SRS6","2021",15.6633333333333,0.0620359314439903,1.48,0.0101835015443463,0.75,0.00254587538608658,0.0481932848611937,0.00046244325419397
"SRS6","2022",15.3066666666667,0.112201593263484,1.54333333333333,0.0289529204906564,0.696666666666667,0.00818384436814235,0.04615438365676,0.00057036632380468
"TS/Ph1","2008",14.5477777777778,0.111142742411154,1.13777777777778,0.0251094995659,0.881111111111111,0.0100989616329155,NA,NA
"TS/Ph1","2009",14.4366666666667,0.054997194092287,0.785555555555556,0.0193737692648622,0.721111111111111,0.0109212168131754,NA,NA
"TS/Ph1","2010",15.1977777777778,0.0794498400999444,NA,0,0.874444444444444,0.0143921179464633,NA,NA
"TS/Ph1","2011",12.3522222222222,0.141939582193063,1.49666666666667,0.126749485595664,0.806666666666667,0.00996908802495909,NA,NA
"TS/Ph1","2012",15.192,0.1551886307405,0.935,0.0289223097279591,0.918,0.0157818461108537,NA,NA
"TS/Ph1","2013",14.4533333333333,0.36071431190738,0.87,0.0384418753155693,0.863333333333333,0.0488004250133283,NA,NA
"TS/Ph1","2014",15.0533333333333,0.364788117090415,0.976666666666667,0.283907914126577,0.886666666666667,0.208974568716795,NA,NA
"TS/Ph1","2015",14.4433333333333,0.348079386432548,1.10333333333333,0.0596595278162613,0.883333333333333,0.0164429428743875,NA,NA
"TS/Ph1","2016",14.52,0.0696020433927369,0.59,0.0202758751009941,0.836666666666667,0.0126197963240006,NA,NA
"TS/Ph1","2017a",14.5833333333333,0.0596595278162613,0.783333333333333,0.0250185116648838,0.813333333333333,0.0203670030886926,NA,NA
"TS/Ph1","2017b",15.1233333333333,0.195628143093907,0.776666666666667,0.0512437891448898,0.823333333333333,0.0504791852960024,NA,NA
"TS/Ph1","2018",14.82,0.137477270848675,0.67,0.0120185042515466,0.78,0.00881917103688198,NA,NA
"TS/Ph1","2019",15.7766666666667,0.453790619036936,0.813333333333333,0.0971444133084195,0.733333333333333,0.0620334437875905,NA,NA
"TS/Ph1","2020",15.02,0.197512306227007,0.656666666666667,0.0134715062810913,0.716666666666667,0.00769800358919502,NA,NA
"TS/Ph1","2021",14.4666666666667,0.241346531253607,0.64,0.01,0.726666666666667,0.0269430125621825,NA,NA
"TS/Ph1","2022",14.61,0.0536449231314367,0.79,0.0233333333333333,0.723333333333333,0.00769800358919502,NA,NA
"TS/Ph10","2008",12.0433333333333,0.00801233616769777,0.48,0.00192450089729875,0.396666666666667,0.00146986183948033,0.00280023132409082,0.000231666738743333
