SITENAME,Year,per_C,error_C,per_H,error_H,per_N,error_N,per_P,error_P,per_O,error_O,np_ratio
SRS4,2016,44.17666667,0.748093874,4.513333333,0.104908838,3.176666667,0.073560255,0.084595481,0.00952126,86.2,0.317647603,83.04
SRS5,2016,27.23666667,1.120019841,3.556666667,0.034752209,1.746666667,0.072188026,0.072558329,0.001787283,57.48,3.14844406,53.23
SRS6,2016,15.71,1.02163268,1.61,0.03532914,0.86,0.061101009,0.059074276,0.007014258,27.51666667,2.518665873,32.19
TS/Ph1,2016,14.52,0.120554275,0.59,0.005853141,0.836666667,0.021858128,0.021125519,0.002324648,8.896666667,0.768338756,87.58
TS/Ph10,2016,12.44,0.070237692,0.39,0.002886751,0.606666667,0.006666667,0.005759354,5.83E-04,7.65,0.320052079,232.93
TS/Ph11,2016,12,0.10214369,0.38,0.004194352,0.586666667,0.027284509,0.03334516,0.004640839,7.56,0.318956632,38.91
TS/Ph2,2016,14.72333333,0.184962459,0.493333333,0.016951274,0.85,0.046188022,0.031313929,0.010093073,8.233333333,0.922719411,60.03
TS/Ph3,2016,16.28666667,0.627384341,0.713333333,0.01639595,1.043333333,0.101707642,0.02900574,0.004004155,12.49666667,2.063607952,79.54
TS/Ph4,2016,15.24,0.196299092,0.56,0.004811252,0.85,0.040414519,0.022279345,0.001389131,9.34,0.843267455,84.37
TS/Ph5,2016,14.91666667,0.416026174,0.49,0.010929064,0.806666667,0.037564759,0.009768723,0.002868316,10.42666667,2.616876849,182.6
TS/Ph6,2016,15.06,0.987235197,0.59,0.029360467,0.76,0.115036226,0.010782471,0.003346814,11.37333333,4.320965684,155.86
TS/Ph7,2016,17.17333333,0.456155432,1.496666667,0.012108053,0.99,0.04163332,0.0402662,0.003679944,25.89666667,0.619040476,54.37
TS/Ph8,2016,17.52666667,0.941794977,1.686666667,0.030797026,1.14,0.086216781,0.035981574,0.004533974,23.32333333,3.891980359,70.06
TS/Ph9,2016,10.72333333,0.249087223,0.25,0.005773503,0.443333333,0.017638342,0.008258832,0.002461153,5.32,0.761511655,118.7
SRS1d,2017,42.08666667,1.173091831,2.64,0.020275875,3.48,0.12489996,0.03966823,0.002035147,78.9,0.314324673,193.99
SRS2,2017,43.69666667,0.627065476,2.896666667,0.119737367,3.673333333,0.153767501,0.044258886,0.003238036,83.5,1.766720125,183.53
SRS3,2017,44.83666667,1.28400848,2.663333333,0.053159439,4.076666667,0.090615181,0.073469389,0.003365839,87.62666667,0.355074327,122.7
SRS4,2017,38.63666667,0.944481045,2.72,0.058972687,2.883333333,0.0669162,0.091568843,0.004122757,88.41,0.408207464,69.63
SRS5,2017,21.60666667,0.665590799,2.456666667,0.021688024,1.17,0.060827625,0.050629669,0.001561226,36.08333333,1.262277483,51.1
SRS6,2017,13.62333333,0.354087246,1.053333333,0.056992527,0.596666667,0.023333333,0.033935144,0.000351884,17.44333333,0.586211945,38.88
TS/Ph1,2017,14.58333333,0.103333333,0.783333333,0.025018512,0.813333333,0.035276684,0.008155621,0.00164761,5.963333333,12.34026472,220.53
TS/Ph10,2017,11.89666667,0.063595947,0.43,0.013333333,0.426666667,0.006666667,0.040998515,0.000700188,9.306666667,0.162207001,23.01
TS/Ph11,2017,12.28333333,0.289904199,0.683333333,0.03371998,0.583333333,0.043716257,0.021099693,0.008474008,23.08,1.247161221,61.14
TS/Ph2,2017,14.95666667,0.208273325,0.69,0.021858128,0.773333333,0.023333333,0.017308757,0.001431619,9.18,0.752152467,98.8
TS/Ph3,2017,15.67,0.440945953,0.726666667,0.04286067,0.773333333,0.057831172,0.010834514,0.000593812,10.01,1.179335971,157.84
TS/Ph4,2017,9.466666667,4.49833426,0.503333333,0.030792014,0.663333333,0.093333333,0.010279301,0.001477598,6.116666667,0.207952986,142.7
TS/Ph5,2017,14.16666667,0.058118653,0.463333333,0.009622504,0.603333333,0.016666667,0.006564206,0.000691048,6.64,0.25540817,203.25
TS/Ph6,2017,41.12666667,0.320953441,2.576666667,0.127381027,2.956666667,0.14970341,0.040507109,0.004258777,85.09333333,0.193591781,161.41
TS/Ph7,2017,16.97,0.280059517,1.536666667,0.028349668,0.833333333,0.013333333,0.051635908,0.00438247,23.69333333,0.724461486,35.69
TS/Ph8,2017,20.88666667,0.162207001,2.346666667,0.028349668,1.27,0.036055513,0.049748364,0.004935715,36.02666667,0.792660779,56.45
TS/Ph9,2017,10.67666667,0.129142471,0.31,0.008819171,0.343333333,0.018559215,0.007271363,0.000240127,4.283333333,0.131318104,104.41
SRS1d,2018,43.23333333,1.027688885,4.173333333,0.091698648,3.56,0.060827625,0.040680416,0.001473928,70.13333333,3.948558105,193.52
SRS2,2018,46.90333333,0.880082067,4.553333333,0.133892347,3.946666667,0.138604153,0.040405808,0.000616468,84.43333333,1.489220527,215.99
SRS3,2018,47.97333333,0.234473405,4.466666667,0.036582395,4.56,0.035118846,0.070892259,0.001168417,87.36666667,0.202758751,142.24
SRS4,2018,45.41666667,0.512911082,3.703333333,0.040303632,3.116666667,0.091347931,0.104205687,0.00918824,86.4,0.75055535,66.14
SRS5,2018,32.03333333,0.608531931,3.383333333,0.045392663,1.966666667,0.060644685,0.080380237,0.005556696,61.5,1.12398102,54.1
SRS6,2018,15.47,0.530031446,1.306666667,0.008407081,0.683333333,0.086858761,0.04732298,0.002106274,22.4,2.951270913,31.93
TS/Ph1,2018,14.82,0.238117618,0.67,0.003469443,0.78,0.015275252,0.004812548,0.00105325,7.866666667,0.202758751,358.4
TS/Ph10,2018,12.27666667,0.059254629,0.42,0.00096225,0.4,0.032145503,0.004847993,1.31E-04,5.3,0.251661148,182.45
TS/Ph11,2018,12.29333333,0.22318403,0.67,0.006309898,0.75,0.14525839,0.029802896,0.002417862,8.366666667,0.41766547,55.65
TS/Ph2,2018,15.20666667,0.317402653,0.606666667,0.011758895,0.803333333,0.121700908,0.010829297,0.004514893,7.733333333,0.409606858,164.04
TS/Ph3,2018,15.72333333,0.259636498,0.726666667,0.007349309,0.76,0.035118846,0.008777348,3.19E-04,9.2,0.503322296,191.47
TS/Ph4,2018,14.60666667,0.265225271,0.536666667,0.008940821,0.546666667,0.026034166,0.005481305,3.65E-04,6.533333333,0.688799277,220.54
TS/Ph5,2018,14.86,0.388501394,0.576666667,0.014021588,0.553333333,0.054569018,0.010823213,0.001983272,7.533333333,1.16952032,113.05
TS/Ph6,2018,15.41666667,0.134453627,0.726666667,0.007474236,0.57,0.140118997,0.009493594,0.000987703,9.233333333,0.202758751,132.77
TS/Ph7,2018,16.19,0.856757453,1.103333333,0.023517789,0.626666667,0.121700908,0.031642317,0.004883172,19.46666667,2.733943021,43.79
TS/Ph8,2018,19.56666667,0.331930381,2.016666667,0.006260793,1.283333333,0.026666667,0.042920341,0.003163382,27.06666667,2.944675043,66.12
TS/Ph9,2018,10.50333333,0.129142471,0.28,0.007637626,0.196666667,0.078810603,0.002956282,0.00060486,3.8,0.251661148,147.11
SRS1d,2019,21.92333333,3.034140918,1.816666667,0.110572305,1.266666667,0.380102325,0.024818825,0.007347075,28.93812846,12.38255645,112.86
SRS2,2019,45.32333333,0.216204636,6.26,0.030971911,3.573333333,0.058404718,0.057776032,0.016646382,85.51499962,1.361006427,136.77
SRS3,2019,44.43333333,0.161692438,5.406666667,0.11745895,3.803333333,0.171690937,0.073187714,0.002599846,87.5490294,0.714815102,114.92
SRS4,2019,39.75333333,0.527457213,5.71,0.029265705,2.653333333,0.049777282,0.085605804,0.005044237,82.64222082,0.766345478,68.54
SRS5,2019,23.14,3.183504358,3.246666667,0.110660196,1.206666667,0.188885621,0.057541552,0.003116571,40.84535556,5.249176561,46.37
SRS6,2019,15.48333333,0.296722841,1.66,0.014529663,0.693333333,0.031797973,0.043318259,0.003350288,26.06790559,1.018695442,35.39
TS/Ph1,2019,15.77666667,0.785988408,0.813333333,0.028043177,0.733333333,0.107445076,0.007093557,0.002734253,12.42549926,2.496261438,228.61
TS/Ph10,2019,12.19666667,0.067412495,0.413333333,0.003379313,0.373333333,0.003333333,0.000705895,3.34E-05,6.224675537,0.28459757,1169.52
